ramp number,stretch marker time,Stretch length,Stretch speed,Resting Discharge FPS,RD SD,Dynamic Peak,Dynamic Index,IST FPS,IST FPS SD,IST inst freq,FST FPS,FST SD,FST inst freq
57,11250.68589,2.50%,20%,27.777777777778798,0.0037523872995608837,263.15789470842356,214.35085600222652,32.0,0.012671953221201864,48.80703870619704,30.0,0.01149076247337424,41.184094891987044
58,11320.15295,2.50%,40%,28.38383838383943,0.002796992029000782,333.3333334675343,273.22325235589847,52.0,0.0032469535106708675,60.11008111163586,50.0,5.912698214673916e-05,50.00543754716815
59,11389.64499,2.50%,40%,27.878787878788902,0.0017965716625315716,101.01010100065808,0.9988507196591314,100.0,3.534119401868472e-05,100.01125028099895,100.0,3.3105890713326246e-05,99.98110104281893
60,11459.13322,2.50%,40%,26.060606060607018,0.003582656012340925,249.9999999490683,201.86860288786937,30.0,0.025188849825978247,48.13139706119894,30.0,0.023255038641897586,44.903841567504394
61,11528.59926,2.50%,60%,27.676767676768694,0.003296505830416222,222.22222226677624,138.51395813700972,48.0,0.012615216230839556,83.70826412976652,48.0,0.01174197698172219,76.78182970788372
62,11598.09733,2.50%,60%,27.97979797979901,0.0034914168835239803,259.74025967507185,209.73507195415138,50.0,3.867815914877583e-05,50.00518772092047,54.0,0.004457456261383467,71.63957076419872
63,11667.58641,2.50%,60%,27.17171717171817,0.0029438581084385612,102.04081632847006,2.047864869270569,100.0,5.4304695901548864e-05,99.99295145919949,102.0,0.0010449416797213295,105.2686422438705
64,12424.39069,5.00%,20%,23.13131313131398,0.01232744104468119,65.78947368497893,-5.5020737825331025,40.0,0.011624334389433322,71.29154746751203,28.0,0.011445866378130679,48.684867411794194
65,12488.64069,5.00%,20%,25.25252525252618,0.013013852859147199,206.18556703790054,154.9445117006895,38.0,0.010549960286745907,51.24105533721103,32.0,0.010723768413367139,44.144418106895984
66,12552.89069,5.00%,20%,22.323232323233142,0.009264119816392299,168.06722692331084,101.95394746937717,36.0,0.011679674295892827,66.11327945393367,30.0,0.009297309049168562,34.786099608814695
67,12617.80472,5.00%,40%,23.333333333334192,0.010126323559587837,263.15789470842356,234.63626846198736,30.0,0.001121378120428689,28.521626246436192,28.0,0.006750745423544043,29.563325456866746
68,12681.92972,5.00%,40%,21.717171717172516,0.008660711865506794,188.67924532228676,147.2044501344078,32.0,0.008785054780907724,41.47479518787895,26.0,0.001045206018541199,25.70242362976626
69,12746.05472,5.00%,40%,22.02020202020283,0.008991933561284629,153.84615385786427,116.05583981201691,32.0,0.008326514853526555,37.79031404584735,32.0,0.011004923880298235,40.07745450768461
70,12810.62588,5.00%,60%,20.606060606061362,0.004970046814714148,74.62686567264672,36.21869976883963,30.0,0.007690010836897467,38.40816590380709,30.0,0.008916224910936332,33.222077844853146
71,12874.70918,5.00%,60%,21.212121212121993,0.007310774520706926,49.50495049744605,0.8114403353385455,30.0,0.008132586031067122,48.69351016210751,26.0,0.0008277545016601793,26.325481516331333
72,12938.79248,5.00%,60%,20.909090909091677,0.00423048696963971,198.0198019897842,169.39343290329754,28.0,0.0007739047560361352,28.626369086486676,26.0,0.0009084253883543204,26.139883893635496
73,13003.37301,7.50%,20%,20.606060606061362,0.0027878124054132505,74.07407407894468,21.59044194835183,40.0,0.005380627287071721,52.483632130592845,32.0,0.0006462557418860397,31.07126144541753
74,13067.87301,7.50%,20%,21.212121212121993,0.0026223210711384965,243.90243901798428,191.53450309758003,40.0,0.0052929693932555946,52.36793592040425,30.0,0.0005949416403642434,31.48415896628335
75,13264.17293,7.50%,20%,20.909090909091677,0.0014484635809409907,38.75968992332885,10.00033750710882,28.0,0.0010721247738128032,28.75935241622003,26.0,0.0010542250866040893,26.14781451693261
76,13328.42293,7.50%,40%,21.01010101010178,0.001212621520601561,38.75968992059615,10.163892269582796,28.0,0.0011916642880590866,28.595797651013356,26.0,0.0005878956555421433,26.799688112214703
77,13393.18219,7.50%,40%,20.70707070707147,0.0013374112634805704,44.44444444257605,15.186761152866648,28.0,0.0011401138952777995,29.2576832897094,26.0,0.000902478507015117,26.3810781722128
78,13457.30719,7.50%,40%,21.61616161616241,0.0031968031868522284,45.24886877800048,15.630237785580324,30.0,0.0005045790325246159,29.618630992420155,26.0,0.0005015950885730675,26.967510338153918
79,13521.43219,7.50%,60%,21.4141414141422,0.003281637665963196,136.05442177129342,88.98515727277854,32.0,0.007459128216543845,47.06926449851489,26.0,0.001378608766072578,26.42322904487348
80,13586.06616,7.50%,60%,21.4141414141422,0.0013586494887383078,43.383947939667834,13.897025316217913,30.0,0.0010086074011092896,29.48692262344992,26.0,0.0007287624263567234,27.006556929877323
81,13650.14946,7.50%,60%,21.212121212121993,0.0027730919672219,41.66666666765195,12.227191341925906,30.0,0.0009883431702303552,29.439475325726047,26.0,0.0008170882058058695,26.638178853430603
82,14747.45564,2.50%,20%,22.72727272727356,0.00458521825753908,82.30452674575764,23.73893291218471,48.0,0.0037091238622976156,58.56559383357293,42.0,0.0048137322467554765,52.553330846580465
83,14811.70564,2.50%,20%,22.42424242424325,0.005008608225667789,204.08163265694012,140.34489370858958,52.0,0.004618759984070406,63.73673894835054,40.0,0.004949845325949139,51.636715898673025
84,14875.95564,2.50%,20%,22.929292929293773,0.007183228127170054,227.27272728279937,166.18583427246037,50.0,0.004617100388762098,61.086893010339,40.0,0.0005205465875684384,39.21287055823113
85,14940.70376,2.50%,40%,23.636363636364504,0.009435360348771004,24.93765586024596,-1.5548578192546856,24.0,0.00857157365926389,26.492513679500647,22.0,0.00483411601890389,22.51336026299271
86,15010.25885,2.50%,40%,24.646464646465553,0.010861755564061978,240.96385538315766,207.79888018862053,26.0,0.008566388839670059,33.16497519453713,28.0,0.012581142756679445,60.784736746993396
87,15079.71601,2.50%,40%,24.84848484848576,0.010735858177714407,25.348542458670234,-3.2859644080655954,28.0,0.007067390621988442,28.63450686673583,32.0,0.009736957923841582,34.635648998861825
88,15149.20803,2.50%,60%,24.242424242425134,0.010096728009278,114.28571427431034,82.97676246524468,28.0,0.008528502631817215,31.308951809065658,24.0,0.0002946278256230168,25.011786422677005
89,15218.64317,2.50%,60%,24.747474747475657,0.010474061824074614,44.052863437032684,16.496596215946276,20.0,0.02604367293579232,27.556267221086408,20.0,0.024896746775108006,26.46153184363353
90,15288.15213,2.50%,60%,24.646464646465553,0.010738697246380052,333.3333332654244,210.78490427981865,36.0,0.016647714224043493,122.54842898560577,32.0,0.015388667705444718,92.6409054656091
91,15357.5963,5.00%,20%,23.5353535353544,0.00838488134919483,294.1176470933151,206.51622052513284,58.0,0.005719324419798804,87.60142656818228,56.0,0.005155204362044503,78.66675903704262
92,15427.08233,5.00%,20%,23.93939393939482,0.00980588215433016,103.09278351895027,3.0788268381223816,100.0,6.284106943240204e-05,100.01395668082789,100.0,0.0001109053650998096,100.01234988806982
93,15496.56549,5.00%,20%,23.5353535353544,0.010662969163491328,55.40166204806597,22.99356807215694,22.0,0.026341861697613243,32.40809397590903,22.0,0.02701413159456194,50.75137695836193
94,15566.04654,5.00%,40%,23.636363636364504,0.010711576382065102,29.542097487506936,4.5315177731514495,24.0,0.00010069204987072074,25.010579714355487,24.0,7.204840174245267e-05,25.00268547842823
95,15635.50858,5.00%,40%,23.434343434344296,0.009309008993748277,59.88023952049892,9.889689568214408,50.0,6.621178159148623e-05,49.99054995228451,50.0,6.399999984523674e-05,50.0055134823722
96,15705.00262,5.00%,40%,22.323232323233142,0.008025144213160728,106.95187167549811,6.979023719417285,100.0,5.330103177520074e-05,99.97284795608083,100.0,6.244998015399329e-05,100.0038988816329
97,15774.53279,5.00%,60%,22.42424242424325,0.009140935833162249,333.3333332654244,304.06047208337446,20.0,0.028098692586182705,29.27286118204993,24.0,0.027683866076738325,52.43464463885251
98,15844.01986,5.00%,60%,22.42424242424325,0.010123211497143542,170.9401709531825,145.94007344238898,24.0,7.905694180792299e-05,25.000097510793534,24.0,0.0001552328003460753,24.995169226856337
99,15913.47891,5.00%,60%,22.02020202020283,0.0071253125628245265,55.09641873315343,5.096143729559849,50.0,4.6904157576765144e-05,50.00027500359358,50.0,6.079473637821101e-05,50.00546253981801
100,15982.97203,7.50%,20%,22.72727272727356,0.009971789829051251,102.56410255277484,2.5830030251489546,100.0,3.310589065838166e-05,99.98109952762589,100.0,3.238826944161187e-05,100.01105027636542
